model,angry-closed,calm-closed,disgust-closed,fear-closed,happy-closed,neutral-closed,sad-closed,surp-closed,angry-open,calm-open,disgust-open,fear-open,happy-open,neutral-open,sad-open,surp-open,Happy-exuberant
1,1,0.61,0.88,0.84,0.94,,0.88,0.76,0.91,0.73,0.97,0.7,0.81,0.79,0.8,0.55,0.87
2,0.75,0.66,0.84,0.87,0.91,,1,0.76,0.74,0.61,0.97,0.85,0.67,0.97,0.82,0.65,0.87
3,0.87,,0.97,0.97,0.88,,0.91,0.76,0.85,0.85,0.97,0.82,0.94,0.76,0.91,0.68,0.71
5,0.97,0.6,0.88,0.85,0.88,,0.81,0.81,0.94,0.91,1,0.91,0.78,0.87,0.9,0.81,0.88
6,0.63,0.64,0.91,0.88,0.61,,0.67,0.7,0.94,0.79,0.97,0.79,0.69,0.7,0.85,0.58,0.81
7,0.94,0.79,0.94,0.97,1,,0.97,0.91,0.97,0.74,1,0.64,0.82,0.9,1,0.81,0.94
8,0.94,0.61,0.94,0.91,0.79,,0.94,,0.94,0.85,1,0.66,0.73,0.65,0.97,0.71,0.96
9,0.94,0.56,0.94,0.91,0.91,,0.85,0.78,0.97,0.81,1,0.9,0.78,0.88,0.84,0.71,0.89
10,0.97,0.69,1,0.88,0.91,,0.88,0.81,0.73,0.82,1,0.94,0.83,0.84,,0.86,
11,0.9,0.88,0.91,0.97,0.71,,0.75,0.84,0.72,0.64,0.97,0.88,0.88,0.94,0.84,0.64,0.93
12,0.85,0.58,1,0.73,0.94,,0.94,0.94,0.94,0.7,1,0.7,0.93,0.94,1,0.8,0.99
13,0.87,0.61,0.94,0.9,1,,0.91,0.67,0.64,0.7,1,0.94,0.88,0.72,0.67,0.5,0.62
14,0.91,0.47,0.94,0.97,0.78,,0.94,0.75,1,0.94,0.97,0.97,0.94,0.91,0.91,0.91,0.97
15,0.81,0.84,0.84,0.94,0.88,0.67,0.65,0.79,1,0.67,1,0.94,0.79,0.64,0.91,0.5,0.94
16,0.78,0.84,1,0.97,0.88,,0.55,0.97,0.78,0.77,1,0.63,0.72,0.5,0.97,0.35,0.99
17,0.81,,0.85,0.97,0.88,,1,0.97,0.91,0.67,1,0.97,,0.85,1,0.79,0.97
18,0.97,0.71,0.9,0.94,1,,0.97,0.9,0.82,0.73,1,0.85,0.84,0.82,0.85,0.68,0.91
19,0.9,,0.85,0.97,0.97,,0.94,0.84,0.82,0.79,0.97,0.9,0.7,0.79,0.82,0.55,0.9
20,1,0.52,0.9,0.97,0.85,,0.97,0.91,0.91,0.66,0.97,1,0.73,0.61,0.97,0.54,0.78
21,0.68,0.55,0.94,0.97,0.55,,1,0.87,0.94,0.81,1,0.94,0.88,0.91,0.82,0.79,0.88
22,1,0.78,0.82,1,0.66,0.78,0.94,0.91,1,0.63,1,0.97,0.69,0.75,0.69,0.79,0.82
23,0.94,0.76,0.91,0.97,0.76,,0.97,0.97,0.85,0.64,1,0.91,0.75,0.82,0.94,0.76,0.97
24,0.69,,0.88,0.97,0.88,,0.91,0.76,0.88,0.82,0.97,0.97,0.94,0.88,1,0.8,0.91
25,0.91,,0.91,0.94,1,,0.91,0.88,0.61,0.67,0.87,,0.79,0.67,0.97,0.59,0.96
26,0.97,0.88,0.91,0.97,0.94,,0.97,0.9,0.97,0.79,0.97,0.91,0.64,0.76,0.94,0.69,0.95
27,0.82,0.77,,0.94,0.97,,0.91,0.85,0.97,0.76,0.97,0.88,0.66,0.88,0.91,0.75,0.88
28,0.76,0.58,0.91,0.94,0.66,,0.76,0.82,0.94,0.55,1,0.84,0.61,0.76,1,0.61,0.98
29,0.61,0.52,0.94,0.97,0.82,,1,0.72,0.87,0.66,0.94,0.85,0.75,0.91,0.64,0.65,0.66
30,0.75,0.64,0.91,0.94,1,,0.55,0.82,0.65,0.55,0.82,0.94,0.69,0.85,0.71,0.5,0.78
31,0.94,0.7,0.79,1,0.72,,0.97,0.81,0.85,0.75,0.94,0.88,0.84,0.82,0.78,0.58,0.83
32,0.85,0.76,0.76,0.91,0.9,,0.88,0.91,0.78,0.52,1,0.82,0.55,0.94,0.97,0.7,0.92
33,0.88,0.69,0.94,0.97,0.71,,0.85,0.76,0.82,0.88,0.97,0.94,0.67,0.81,0.73,0.64,0.74
34,1,0.61,0.91,1,0.88,,0.94,0.88,0.97,0.52,1,0.77,0.79,0.91,0.74,0.62,0.83
35,0.91,,0.97,0.77,,,0.91,0.91,0.8,0.64,0.94,0.82,0.5,0.82,0.79,0.61,0.82
36,1,1,1,1,0.13,,1,1,1,1,1,1,1,1,1,0.81,0.9
37,1,0.58,0.97,0.94,0.77,,1,0.91,0.75,0.85,0.97,0.91,0.69,0.81,0.76,0.74,0.78
38,0.81,0.88,0.97,0.94,1,,0.97,0.88,0.94,0.85,1,0.76,0.67,0.67,0.94,0.72,0.98
39,0.9,0.79,0.81,0.94,0.91,,0.88,0.88,0.7,0.84,1,0.75,0.65,0.64,0.94,0.71,0.92
40,0.76,0.55,0.94,0.97,0.84,,1,0.94,0.97,0.79,0.94,0.94,0.84,0.91,0.79,0.83,0.94
41,0.67,0.68,0.79,0.94,0.71,,0.88,0.97,0.97,0.71,1,0.84,0.88,0.75,0.91,0.61,0.86
42,0.94,,0.85,1,0.69,,0.97,0.79,0.9,0.78,0.97,0.97,0.67,0.69,0.73,0.62,0.76
43,0.88,0.82,0.97,1,0.91,,1,0.79,0.97,0.97,1,0.88,0.69,0.82,0.97,0.81,0.96
45,0.97,0.55,0.91,0.88,0.82,,1,0.88,0.97,0.82,1,0.82,0.91,0.76,0.85,0.68,0.82
